City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chokurdakh,RU,2020-02-19 23:33:28,70.63,147.92,-11.27,90,79,6.31
1,Te Anau,NZ,2020-02-19 23:33:28,-45.42,167.72,55.45,72,100,2.51
2,Djenne,ML,2020-02-19 23:33:29,13.91,-4.55,76.32,11,17,8.01
3,Puerto Ayora,EC,2020-02-19 23:33:29,-0.74,-90.35,87.8,62,20,9.17
4,Kieta,PG,2020-02-19 23:33:29,-6.22,155.63,84.25,70,4,9.24
5,Mataura,NZ,2020-02-19 23:33:29,-46.19,168.86,66.0,73,100,7.0
6,Nikolskoye,RU,2020-02-19 23:33:30,59.7,30.79,36.0,93,75,6.71
7,Ponta Delgada,PT,2020-02-19 23:33:30,37.73,-25.67,57.2,82,20,20.8
8,Mar Del Plata,AR,2020-02-19 23:33:30,-38.0,-57.56,66.2,82,90,11.41
9,Petropavlovka,RU,2020-02-19 23:33:30,50.61,105.32,3.87,92,100,4.29
10,Salalah,OM,2020-02-19 23:31:57,17.02,54.09,75.2,73,75,4.7
11,Valdivia,CL,2020-02-19 23:33:31,-39.81,-73.25,66.2,37,0,10.29
12,Hilo,US,2020-02-19 23:33:31,19.73,-155.09,75.99,69,90,11.41
13,Butaritari,KI,2020-02-19 23:33:31,3.07,172.79,84.49,78,48,16.53
14,Jamestown,US,2020-02-19 23:32:51,42.1,-79.24,26.01,73,75,9.17
15,Puro,PH,2020-02-19 23:33:32,12.48,123.38,77.5,77,68,18.66
16,Tazovskiy,RU,2020-02-19 23:33:32,67.47,78.7,27.45,97,100,5.55
17,Pevek,RU,2020-02-19 23:33:32,69.7,170.31,-17.68,98,100,5.88
18,Dikson,RU,2020-02-19 23:33:32,73.51,80.55,19.2,94,100,15.82
19,Taoudenni,ML,2020-02-19 23:33:33,22.68,-3.98,70.03,12,37,10.25
20,Khatanga,RU,2020-02-19 23:33:33,71.97,102.5,-12.89,85,0,2.75
21,Provideniya,RU,2020-02-19 23:33:33,64.38,-173.3,3.2,71,100,8.95
22,Rock Sound,BS,2020-02-19 23:33:33,24.9,-76.2,75.99,85,11,13.94
23,Hermanus,ZA,2020-02-19 23:33:33,-34.42,19.23,68.0,95,0,1.99
24,Sisimiut,GL,2020-02-19 23:33:34,66.94,-53.67,-8.68,85,71,5.97
25,Longyearbyen,SJ,2020-02-19 23:33:34,78.22,15.64,8.6,65,75,26.4
26,Punta Arenas,CL,2020-02-19 23:31:12,-53.15,-70.92,50.0,66,40,23.04
27,Kaitangata,NZ,2020-02-19 23:33:34,-46.28,169.85,62.01,82,83,11.99
28,Busselton,AU,2020-02-19 23:33:34,-33.65,115.33,72.0,41,0,16.64
29,Kirkenes,NO,2020-02-19 23:33:35,69.73,30.05,15.8,72,14,23.04
30,Castro,BR,2020-02-19 23:33:35,-24.79,-50.01,67.39,97,98,3.62
31,Tiksi,RU,2020-02-19 23:33:35,71.69,128.87,-4.65,85,100,7.78
32,Saskylakh,RU,2020-02-19 23:33:35,71.92,114.08,-7.98,99,0,6.76
33,Albany,US,2020-02-19 23:29:00,42.6,-73.97,32.0,67,75,14.99
34,Orcopampa,PE,2020-02-19 23:33:36,-15.27,-72.34,40.15,88,98,4.83
35,Floro,NO,2020-02-19 23:29:15,61.6,5.03,42.01,69,90,25.28
36,Mitsamiouli,KM,2020-02-19 23:33:36,-11.38,43.28,80.6,88,40,4.7
37,Lima,PE,2020-02-19 23:30:21,-12.04,-77.03,75.2,83,75,13.87
38,Fairbanks,US,2020-02-19 23:30:31,64.84,-147.72,19.0,78,90,3.04
39,Henties Bay,NA,2020-02-19 23:33:37,-22.12,14.28,64.99,91,93,3.74
40,Tecoanapa,MX,2020-02-19 23:33:37,16.52,-98.75,87.15,35,0,6.53
41,Thompson,CA,2020-02-19 23:32:28,55.74,-97.86,8.6,50,75,10.29
42,Bathsheba,BB,2020-02-19 23:33:38,13.22,-59.52,73.4,83,90,19.46
43,Yaya,RU,2020-02-19 23:33:38,56.21,86.44,24.22,92,96,9.84
44,Ilulissat,GL,2020-02-19 23:33:38,69.22,-51.1,3.2,71,100,3.36
45,Raga,SS,2020-02-19 23:33:38,8.46,25.68,70.72,27,0,3.49
46,Ushuaia,AR,2020-02-19 23:32:00,-54.8,-68.3,48.2,81,75,21.92
47,Port Alfred,ZA,2020-02-19 23:33:39,-33.59,26.89,66.0,93,3,1.01
48,Moose Factory,CA,2020-02-19 23:33:39,51.26,-80.61,-7.6,57,1,11.41
49,Saint George,US,2020-02-19 23:30:05,37.1,-113.58,59.0,19,1,4.76
50,Port Elizabeth,ZA,2020-02-19 23:33:39,-33.92,25.57,66.2,93,65,4.7
51,Noshiro,JP,2020-02-19 23:33:40,40.2,140.02,32.0,100,75,9.08
52,Guican,CO,2020-02-19 23:33:40,6.46,-72.41,52.36,84,56,3.78
53,Ribeira Grande,PT,2020-02-19 23:33:40,38.52,-28.7,51.03,73,25,20.6
54,Qaanaaq,GL,2020-02-19 23:33:41,77.48,-69.36,-11.4,52,0,5.08
55,Bredasdorp,ZA,2020-02-19 23:33:41,-34.53,20.04,69.8,83,13,12.75
56,Capitan Bado,PY,2020-02-19 23:33:41,-23.27,-55.53,78.44,83,95,0.74
57,Shieli,KZ,2020-02-19 23:33:41,44.17,66.75,30.7,48,0,6.96
58,Poltavskaya,RU,2020-02-19 23:33:42,45.36,38.22,34.0,100,100,3.91
59,Channel-Port Aux Basques,CA,2020-02-19 23:33:42,47.57,-59.14,27.84,73,69,35.23
60,Santiago De Chuco,PE,2020-02-19 23:33:42,-8.15,-78.18,50.14,86,67,0.87
61,Hithadhoo,MV,2020-02-19 23:33:43,-0.6,73.08,82.9,80,99,17.54
62,Xichang,CN,2020-02-19 23:33:43,27.9,102.26,32.27,92,0,2.59
63,Faanui,PF,2020-02-19 23:33:43,-16.48,-151.75,83.55,73,100,17.29
64,Georgetown,MY,2020-02-19 23:33:43,5.41,100.34,78.8,88,20,5.82
65,Mahebourg,MU,2020-02-19 23:33:43,-20.41,57.7,77.0,78,40,10.74
66,Saint-Philippe,RE,2020-02-19 23:33:44,-21.36,55.77,75.2,64,20,4.7
67,Norman Wells,CA,2020-02-19 23:33:44,65.28,-126.83,8.6,71,75,9.17
68,Mount Isa,AU,2020-02-19 23:33:44,-20.73,139.5,84.2,18,15,8.05
69,Kodiak,US,2020-02-19 23:33:45,57.79,-152.41,33.8,55,75,5.82
70,San Cristobal,VE,2020-02-19 23:33:45,7.77,-72.22,87.8,55,40,8.05
71,San Patricio,MX,2020-02-19 23:33:45,19.22,-104.7,86.0,70,40,11.41
72,Kaduna,NG,2020-02-19 23:33:46,10.52,7.44,71.08,19,0,9.08
73,Taltal,CL,2020-02-19 23:33:46,-25.4,-70.48,63.03,84,100,2.53
74,Yellowknife,CA,2020-02-19 23:30:21,62.46,-114.35,3.2,77,75,14.99
75,Guerrero Negro,MX,2020-02-19 23:33:46,27.98,-114.06,66.16,57,0,13.65
76,Atuona,PF,2020-02-19 23:33:46,-9.8,-139.03,82.08,77,94,17.38
77,Grand Gaube,MU,2020-02-19 23:33:47,-20.01,57.66,77.0,78,40,14.23
78,Cape Town,ZA,2020-02-19 23:30:18,-33.93,18.42,71.01,94,75,16.11
79,Teya,RU,2020-02-19 23:33:47,60.38,92.63,14.81,91,100,6.93
80,Arraial Do Cabo,BR,2020-02-19 23:33:47,-22.97,-42.03,78.8,78,65,13.87
81,Korla,CN,2020-02-19 23:33:47,41.76,86.15,28.0,88,100,4.14
82,Namatanai,PG,2020-02-19 23:33:48,-3.67,152.43,82.67,76,10,13.69
83,Broome,US,2020-02-19 23:33:48,42.25,-75.83,27.0,73,90,10.29
84,Saint Anthony,US,2020-02-19 23:33:48,45.02,-93.22,12.2,43,1,9.17
85,Port-Cartier,CA,2020-02-19 23:33:48,50.03,-66.87,12.2,51,40,24.16
86,Bundaberg,AU,2020-02-19 23:31:03,-24.85,152.35,91.0,66,0,10.29
87,Barrow,US,2020-02-19 23:33:49,71.29,-156.79,-5.8,83,90,5.82
88,Alamos,MX,2020-02-19 23:31:07,27.02,-108.93,80.01,60,96,4.0
89,Hobart,AU,2020-02-19 23:30:54,-42.88,147.33,62.01,55,40,14.99
90,Komsomolskiy,UZ,2020-02-19 23:33:49,40.43,71.72,28.4,86,0,4.7
91,Carnarvon,AU,2020-02-19 23:33:50,-24.87,113.63,80.6,69,40,15.95
92,Edd,ER,2020-02-19 23:33:50,13.93,41.69,76.21,73,0,10.02
93,Nichinan,JP,2020-02-19 23:33:50,31.6,131.37,44.6,81,75,6.93
94,Khovu-Aksy,RU,2020-02-19 23:33:50,51.13,93.6,0.3,82,100,7.2
95,Tabuk,PH,2020-02-19 23:33:51,17.42,121.44,65.79,82,24,4.05
96,Robinson,US,2020-02-19 23:33:51,31.47,-97.11,46.99,93,90,10.29
97,Lahij,YE,2020-02-19 23:33:51,13.17,44.58,70.88,76,0,7.63
98,Bluff,NZ,2020-02-19 23:33:52,-46.6,168.33,66.0,73,92,7.0
99,Bardiyah,LY,2020-02-19 23:33:52,31.76,25.09,57.61,77,32,11.95
100,Cidreira,BR,2020-02-19 23:33:52,-30.18,-50.21,75.47,76,47,11.65
101,Ofunato,JP,2020-02-19 23:33:53,39.07,141.72,35.6,58,75,2.24
102,Bambous Virieux,MU,2020-02-19 23:33:53,-20.34,57.76,77.0,78,40,14.72
103,Dera Ghazi Khan,PK,2020-02-19 23:33:53,30.06,70.63,60.49,46,0,15.61
104,Opotiki,NZ,2020-02-19 23:33:53,-38.08,177.28,91.99,70,75,5.99
105,Kapaa,US,2020-02-19 23:33:53,22.08,-159.32,80.6,94,90,23.04
106,Airai,TL,2020-02-19 23:33:54,-8.93,125.41,75.47,75,97,2.26
107,Avarua,CK,2020-02-19 23:29:34,-21.21,-159.78,78.8,94,100,11.41
108,Shimanovsk,RU,2020-02-19 23:33:54,52.0,127.7,-7.89,85,0,7.65
109,Hofn,IS,2020-02-19 23:33:54,64.25,-15.21,40.87,88,100,30.6
110,El Alto,PE,2020-02-19 23:33:54,-4.27,-81.21,62.6,100,40,9.17
111,Clinton,US,2020-02-19 23:33:32,42.59,-82.92,30.2,39,40,8.05
112,Port-Gentil,GA,2020-02-19 23:33:55,-0.72,8.78,82.4,94,20,3.36
113,Lamu,KE,2020-02-19 23:33:55,-2.27,40.9,80.42,84,21,9.86
114,Vallenar,CL,2020-02-19 23:33:55,-28.57,-70.76,60.64,82,0,2.62
115,Rikitea,PF,2020-02-19 23:33:56,-23.12,-134.97,78.46,80,3,13.33
116,Sorong,ID,2020-02-19 23:33:56,-0.88,131.25,82.63,71,100,5.93
117,Kaabong,UG,2020-02-19 23:33:56,3.48,34.15,71.42,63,1,7.78
118,Nizhniy Tsasuchey,RU,2020-02-19 23:33:56,50.52,115.13,1.45,85,81,4.9
119,Callaway,US,2020-02-19 23:33:56,30.15,-85.57,75.0,83,90,5.82
120,Walvis Bay,NA,2020-02-19 23:33:57,-22.96,14.51,64.99,91,100,10.33
121,Katsuura,JP,2020-02-19 23:33:57,35.13,140.3,48.0,52,75,9.17
122,East London,ZA,2020-02-19 23:33:57,-33.02,27.91,73.72,83,83,18.79
123,Barra Do Bugres,BR,2020-02-19 23:33:58,-15.07,-57.18,74.71,91,100,2.51
124,Charters Towers,AU,2020-02-19 23:33:58,-20.1,146.27,87.4,59,3,3.69
125,Luderitz,NA,2020-02-19 23:33:58,-26.65,15.16,63.95,95,64,12.53
126,Ponta Do Sol,PT,2020-02-19 23:33:58,32.67,-17.1,60.8,63,75,11.41
127,Polovinnoye,RU,2020-02-19 23:33:59,54.79,65.99,24.75,90,100,16.98
128,Gberia Fotombu,SL,2020-02-19 23:33:59,9.88,-11.17,74.35,26,0,4.7
129,Murdochville,CA,2020-02-19 23:33:59,48.96,-65.5,1.65,86,69,20.09
130,Tuatapere,NZ,2020-02-19 23:33:59,-46.13,167.68,66.0,73,100,7.0
131,Porto Torres,IT,2020-02-19 23:34:00,40.84,8.4,53.6,76,20,4.7
132,Alice Springs,AU,2020-02-19 23:31:49,-23.7,133.88,75.2,25,0,13.87
133,Pokhara,NP,2020-02-19 23:30:06,28.23,83.98,54.34,75,100,2.42
134,Sorland,NO,2020-02-19 23:34:00,67.67,12.69,35.49,67,55,18.16
135,Port Hawkesbury,CA,2020-02-19 23:34:01,45.62,-61.35,32.0,74,75,17.22
136,Killybegs,IE,2020-02-19 23:34:01,54.63,-8.45,48.99,95,100,11.99
137,Nemuro,JP,2020-02-19 23:34:01,43.32,145.57,25.84,74,27,7.29
138,Bakchar,RU,2020-02-19 23:34:01,57.02,82.07,25.77,95,81,6.76
139,Tuktoyaktuk,CA,2020-02-19 23:34:01,69.45,-133.04,6.8,84,90,9.17
140,Vila Franca Do Campo,PT,2020-02-19 23:34:02,37.72,-25.43,57.2,82,20,20.8
141,Fortuna,US,2020-02-19 23:34:02,40.6,-124.16,59.0,81,20,14.99
142,Vardo,NO,2020-02-19 23:34:02,70.37,31.11,15.8,78,81,20.8
143,Berlevag,NO,2020-02-19 23:34:02,70.86,29.09,26.6,79,20,13.87
144,Les Cayes,HT,2020-02-19 23:34:03,18.2,-73.75,80.76,75,0,12.1
145,Kloulklubed,PW,2020-02-19 23:34:03,7.04,134.26,82.4,69,75,11.41
146,Oancea,RO,2020-02-19 23:34:03,45.92,28.1,42.96,63,66,3.18
147,Havre-Saint-Pierre,CA,2020-02-19 23:34:03,50.23,-63.6,19.4,79,75,14.99
148,Kuznechnoye,RU,2020-02-19 23:34:03,61.12,29.87,35.01,97,98,5.79
149,Victoria,HK,2020-02-19 23:34:04,22.29,114.16,64.99,72,20,3.36
150,Pisco,PE,2020-02-19 23:34:04,-13.7,-76.22,71.6,30,100,20.8
151,San Quintin,MX,2020-02-19 23:34:04,30.48,-115.95,60.3,82,0,15.21
152,Kjopsvik,NO,2020-02-19 23:34:04,68.1,16.37,21.99,62,0,6.93
153,Nanortalik,GL,2020-02-19 23:34:05,60.14,-45.24,19.47,68,94,13.78
154,Luganville,VU,2020-02-19 23:34:05,-15.53,167.17,86.0,62,40,6.93
155,Batagay-Alyta,RU,2020-02-19 23:34:05,67.8,130.41,-10.08,82,69,4.81
156,Svetlyy,RU,2020-02-19 23:34:05,54.67,20.13,39.2,93,75,6.71
157,Dongsheng,CN,2020-02-19 23:34:06,39.82,109.98,25.41,43,84,16.17
158,Develi,TR,2020-02-19 23:34:06,38.39,35.49,24.8,85,11,6.93
159,Lasa,IT,2020-02-19 23:34:06,46.62,10.7,24.8,68,5,4.7
160,Kahului,US,2020-02-19 23:34:06,20.89,-156.47,80.6,54,40,33.33
161,Baghdad,IQ,2020-02-19 23:29:54,33.34,44.4,59.0,77,62,11.41
162,Richards Bay,ZA,2020-02-19 23:34:07,-28.78,32.04,76.77,88,0,6.15
163,Sheridan,US,2020-02-19 23:29:43,44.83,-106.92,23.0,53,1,2.73
164,Tasiilaq,GL,2020-02-19 23:34:07,65.61,-37.64,19.4,79,100,4.7
165,Tres Arroyos,AR,2020-02-19 23:29:54,-38.37,-60.28,57.92,61,9,10.31
166,Vostok,RU,2020-02-19 23:34:07,46.49,135.88,7.2,92,100,9.1
167,Dubti,ET,2020-02-19 23:34:08,11.74,41.09,77.32,52,32,6.71
168,Souillac,MU,2020-02-19 23:34:08,-20.52,57.52,77.0,78,40,10.74
169,Inverell,AU,2020-02-19 23:34:08,-29.78,151.12,75.0,43,0,5.01
170,Cap Malheureux,MU,2020-02-19 23:34:09,-19.98,57.61,77.0,78,40,14.23
171,Hangu,CN,2020-02-19 23:34:09,39.25,117.79,33.8,92,75,4.47
172,Vaini,TO,2020-02-19 23:34:09,-21.2,-175.2,82.4,65,20,10.29
173,Lata,PT,2020-02-19 23:34:09,40.16,-8.33,53.01,100,10,3.36
174,Severo-Kurilsk,RU,2020-02-19 23:34:10,50.68,156.12,19.99,85,41,10.38
175,Margate,GB,2020-02-19 23:34:10,51.38,1.39,50.0,87,100,14.99
176,Chuy,UY,2020-02-19 23:34:10,-33.7,-53.46,68.67,85,2,6.2
177,Port Lincoln,AU,2020-02-19 23:34:10,-34.73,135.87,61.29,64,100,10.51
178,Hutchinson,US,2020-02-19 23:31:50,38.06,-97.93,42.8,51,90,8.05
179,Junin,AR,2020-02-19 23:34:11,-34.58,-60.94,69.01,83,0,9.19
180,Soyo,AO,2020-02-19 23:34:11,-6.13,12.37,75.92,86,100,6.58
181,Kudahuvadhoo,MV,2020-02-19 23:34:11,2.67,72.89,81.68,78,46,16.91
182,Polunochnoye,RU,2020-02-19 23:34:12,60.87,60.42,24.57,91,0,5.26
183,Saint-Pierre,RE,2020-02-19 23:34:12,-21.34,55.48,75.2,64,20,4.7
184,Buala,SB,2020-02-19 23:34:12,-8.14,159.59,85.55,69,96,9.62
185,Tenenkou,ML,2020-02-19 23:34:12,14.46,-4.92,76.39,12,4,9.35
186,Vyartsilya,RU,2020-02-19 23:34:12,62.18,30.69,25.77,93,73,5.17
187,Kokkola,FI,2020-02-19 23:34:13,63.83,23.08,28.0,85,63,3.36
188,Talakan,RU,2020-02-19 23:34:13,50.32,130.37,-5.08,98,94,2.59
189,Mwense,ZM,2020-02-19 23:34:13,-10.38,28.7,66.78,95,96,1.19
190,Ust-Koksa,RU,2020-02-19 23:34:13,50.27,85.61,2.79,93,100,11.5
191,Cururupu,BR,2020-02-19 23:34:13,-1.83,-44.87,75.27,99,100,2.64
192,Ulaangom,MN,2020-02-19 23:34:14,49.98,92.07,-9.9,95,79,1.86
193,Vao,NC,2020-02-19 23:34:14,-22.67,167.48,78.84,74,11,10.74
194,Cherskiy,RU,2020-02-19 23:34:14,68.75,161.3,-20.97,96,98,7.16
195,Pachino,IT,2020-02-19 23:34:14,36.72,15.09,44.6,93,90,2.24
196,Kremenki,RU,2020-02-19 23:34:15,54.88,37.13,35.01,94,20,2.24
197,Talara,PE,2020-02-19 23:34:15,-4.58,-81.27,62.6,100,40,9.17
198,Lebu,CL,2020-02-19 23:34:15,-37.62,-73.65,57.88,60,0,9.82
199,Port Hardy,CA,2020-02-19 23:34:15,50.7,-127.42,46.4,53,75,9.17
200,Coihaique,CL,2020-02-19 23:34:16,-45.58,-72.07,57.2,47,15,5.82
201,Hambantota,LK,2020-02-19 23:34:16,6.12,81.12,79.16,74,0,23.55
202,Iqaluit,CA,2020-02-19 23:34:16,63.75,-68.51,-31.0,59,20,3.36
203,Ferkessedougou,CI,2020-02-19 23:34:16,9.6,-5.2,79.02,14,0,3.56
204,Pimentel,PE,2020-02-19 23:34:17,-6.84,-79.93,66.2,29,0,21.92
205,Kirakira,SB,2020-02-19 23:34:17,-10.45,161.92,84.09,68,25,2.89
206,Narsaq,GL,2020-02-19 23:34:17,60.92,-46.05,14.0,33,32,17.22
207,Bengkulu,ID,2020-02-19 23:34:17,-3.8,102.27,74.61,84,69,4.72
208,Esperance,AU,2020-02-19 23:34:17,-33.87,121.9,64.4,63,90,10.29
209,Laguna,US,2020-02-19 23:31:06,38.42,-121.42,69.8,29,1,6.93
210,Scottsbluff,US,2020-02-19 23:34:18,41.87,-103.67,24.8,68,90,10.29
211,Baykit,RU,2020-02-19 23:34:19,61.67,96.37,6.6,96,100,3.29
212,Hamilton,US,2020-02-19 23:34:19,39.18,-84.53,41.0,41,1,6.93
213,Gamba,GA,2020-02-19 23:34:19,-2.65,10.0,78.76,88,100,1.81
214,Meadow Lake,US,2020-02-19 23:34:19,34.8,-106.54,60.01,35,1,13.87
215,Dali,CN,2020-02-19 23:34:19,25.7,100.18,36.57,85,0,2.44
216,Kochinda,IN,2020-02-19 23:30:17,21.73,84.35,59.58,71,100,3.87
217,Pangai,TO,2020-02-19 23:34:20,-19.8,-174.35,78.8,83,75,11.41
218,Mashivka,UA,2020-02-19 23:34:20,49.44,34.87,32.5,94,77,3.56
219,Chernyshevskiy,RU,2020-02-19 23:34:20,63.01,112.47,5.36,96,100,4.88
220,Shakhtinsk,KZ,2020-02-19 23:34:21,49.71,72.59,17.6,78,74,13.42
221,Broken Hill,AU,2020-02-19 23:34:21,-31.95,141.43,62.6,48,46,13.87
222,Klaksvik,FO,2020-02-19 23:34:21,62.23,-6.59,37.4,64,74,19.46
223,Peniche,PT,2020-02-19 23:34:21,39.36,-9.38,57.0,100,30,3.36
224,Ligayan,PH,2020-02-19 23:34:22,4.65,119.47,81.59,80,43,17.94
225,Juneau,US,2020-02-19 23:34:22,58.3,-134.42,39.2,86,75,13.87
226,Bethel,US,2020-02-19 23:31:16,41.37,-73.41,41.0,40,1,8.05
227,Beloha,MG,2020-02-19 23:34:22,-25.17,45.05,72.82,88,1,10.58
228,Irig,RS,2020-02-19 23:34:23,45.1,19.86,46.99,75,75,11.41
229,Aklavik,CA,2020-02-19 23:34:23,68.22,-135.01,17.6,85,90,2.24
230,Songjianghe,CN,2020-02-19 23:34:23,42.19,127.48,13.57,88,0,4.83
231,Northam,GB,2020-02-19 23:34:23,51.03,-4.22,48.99,87,75,14.99
232,New Norfolk,AU,2020-02-19 23:34:24,-42.78,147.06,61.0,55,40,14.99
233,Lat Yao,TH,2020-02-19 23:34:24,15.75,99.79,70.66,62,8,1.36
234,Tambura,SS,2020-02-19 23:34:24,5.6,27.47,71.28,38,15,1.57
235,Ostrovnoy,RU,2020-02-19 23:34:24,68.05,39.51,11.1,96,99,8.52
236,Cabo San Lucas,MX,2020-02-19 23:30:11,22.89,-109.91,82.99,50,5,8.05
237,Chinsali,ZM,2020-02-19 23:34:25,-10.54,32.08,64.15,95,67,2.62
238,Faya,SA,2020-02-19 23:34:25,18.39,42.45,60.8,77,82,9.17
239,Hasaki,JP,2020-02-19 23:34:25,35.73,140.83,43.0,80,75,4.7
240,Dingle,PH,2020-02-19 23:34:26,11.0,122.67,73.18,89,100,15.08
241,Grande Prairie,CA,2020-02-19 23:30:28,55.17,-118.8,15.8,66,75,3.36
242,Okha,RU,2020-02-19 23:34:26,53.57,142.95,1.13,92,90,5.75
243,Samarai,PG,2020-02-19 23:34:27,-10.62,150.67,89.01,55,100,2.44
244,Upata,VE,2020-02-19 23:34:27,8.01,-62.4,76.08,68,39,8.5
245,Manaus,BR,2020-02-19 23:31:52,-3.1,-60.02,86.0,66,40,6.93
246,Ipixuna,BR,2020-02-19 23:34:27,-1.76,-48.8,75.2,94,75,2.24
247,Deputatskiy,RU,2020-02-19 23:34:27,69.3,139.9,-6.97,93,100,3.69
248,Sao Joao Da Barra,BR,2020-02-19 23:34:28,-21.64,-41.05,78.8,83,60,18.34
249,Mantua,IT,2020-02-19 23:34:28,45.17,10.78,48.0,45,23,6.93
250,Pastavy,BY,2020-02-19 23:34:28,55.12,26.83,35.89,94,100,7.96
251,Egvekinot,RU,2020-02-19 23:34:28,66.32,-179.17,-13.58,89,0,10.11
252,Port Hedland,AU,2020-02-19 23:34:29,-20.32,118.57,84.2,83,1,6.93
253,Chittaurgarh,IN,2020-02-19 23:34:29,24.88,74.63,61.27,40,83,2.55
254,Caravelas,BR,2020-02-19 23:34:29,-17.71,-39.25,80.76,80,6,11.34
255,Torbay,CA,2020-02-19 23:34:29,47.67,-52.73,35.6,93,90,28.86
256,Vestmannaeyjar,IS,2020-02-19 23:34:30,63.44,-20.27,38.39,69,100,32.86
257,Rorvik,NO,2020-02-19 23:34:30,64.86,11.24,34.56,71,5,23.35
258,Leh,IN,2020-02-19 23:33:58,34.17,77.58,2.5,84,100,5.21
259,Sao Filipe,CV,2020-02-19 23:34:30,14.9,-24.5,74.03,55,67,20.4
260,Ornskoldsvik,SE,2020-02-19 23:33:09,63.29,18.72,23.0,85,7,4.7
261,Neepawa,CA,2020-02-19 23:32:16,50.23,-99.47,-2.2,58,5,5.82
262,Pogar,RU,2020-02-19 23:34:31,52.55,33.26,33.12,91,100,6.6
263,Asuncion,PY,2020-02-19 23:34:31,-25.3,-57.64,86.0,70,40,10.29
264,Petropavlovsk-Kamchatskiy,RU,2020-02-19 23:34:31,53.05,158.65,6.8,55,0,6.71
265,Bulgan,MN,2020-02-19 23:34:32,48.81,103.53,1.94,96,100,6.04
266,Vila Velha,BR,2020-02-19 23:32:06,-20.33,-40.29,80.6,78,40,11.41
267,Opuwo,NA,2020-02-19 23:34:32,-18.06,13.84,68.07,32,100,6.73
268,Boralday,KZ,2020-02-19 23:34:32,43.36,76.86,15.8,92,75,4.47
269,Marshfield,US,2020-02-19 23:34:33,44.67,-90.17,12.2,46,1,13.87
